2019-02-04 22:32:14,420 (7f2c92ffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.fanarttv'
2019-02-04 22:32:14,421 (7f2c92ffd700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.fanarttv'
2019-02-04 22:32:14,421 (7f2c92ffd700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,421 (7f2c927fc700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.opensubtitles not in info dictionary - pinging!
2019-02-04 22:32:14,422 (7f2c927fc700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.opensubtitles'
2019-02-04 22:32:14,423 (7f2c927fc700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.opensubtitles'
2019-02-04 22:32:14,423 (7f2c927fc700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,424 (7f2c91ffb700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.none not in info dictionary - pinging!
2019-02-04 22:32:14,424 (7f2c91ffb700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.none'
2019-02-04 22:32:14,426 (7f2c91ffb700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.none'
2019-02-04 22:32:14,426 (7f2c91ffb700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,426 (7f2c917fa700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.htbackdrops not in info dictionary - pinging!
2019-02-04 22:32:14,426 (7f2c917fa700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.htbackdrops'
2019-02-04 22:32:14,428 (7f2c917fa700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.htbackdrops'
2019-02-04 22:32:14,428 (7f2c917fa700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,428 (7f2c90ff9700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.movieposterdb not in info dictionary - pinging!
2019-02-04 22:32:14,428 (7f2c90ff9700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.movieposterdb'
