tzdata 2017c-1
uboot-raspberrypi 2017.07-1
usbutils 008-1
util-linux 2.31-1
v4l-utils 1.12.5-1
vi 1:070224-2
vid.stab 1.1-1
vim 8.0.1272-1
vim-runtime 8.0.1272-1
wayland 1.14.0-1
wget 1.19.2-1
which 2.21-2
whois 5.2.18-1
wiredtiger 2.9.3-1
wireless-regdb 2016.06.10-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-11
x265 2.5-1
xbitmaps 1.1.1-3
xcb-proto 1.12-3
xextproto 7.3.0-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.12.0-1
xineramaproto 1.2.1-3
xorg-luit 1.1.1-2
xorg-xdpyinfo 1.3.2-1
xorg-xprop 1.2.2-1
xproto 7.0.31-1
xterm 330-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
yaml-cpp 0.5.3-3
yaourt 1.9-1
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-2
